grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.905675976Z level=info msg="module stopped" module=*loginattemptimpl.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.905758372Z level=info msg="module stopped" module=*updatemanager.GrafanaService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.905863756Z level=info msg="module stopped" module=*service.UsageStats
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.905932986Z level=info msg="module stopped" module=*store.standardStorageService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.906105398Z level=info msg="module stopped" module=*cleanup.CleanUpService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.90619614Z level=info msg="module stopped" module=*statscollector.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.906645162Z level=info msg="module stopped" module=*pushhttp.Gateway
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.906860329Z level=info msg="module stopped" module=*service.DashboardServiceImpl
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.90704088Z level=info msg="module stopped" module=*live.GrafanaLive
grafana  | logger=ngalert.scheduler t=2026-04-05T18:40:31.910451822Z level=info msg=stopped component=ticker last_tick=2026-04-05T18:40:30Z
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.915076054Z level=info msg="module stopped" module=*ngalert.AlertNG
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.915263835Z level=info msg="module stopped" module=provisioning
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.915469871Z level=info msg="module stopped" module=plugin.backgroundinstaller
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.921260853Z level=info msg="module stopped" module=plugins.store
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.921572917Z level=info msg="module stopped" module=grafana-apiserver
grafana  | logger=tracing t=2026-04-05T18:40:31.921809689Z level=info msg="Closing tracing"
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.921872793Z level=info msg="module stopped" module=tracing
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:31.921922312Z level=info msg="All modules stopped"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:31.921982433Z level=info msg="StorageObjectCountTracker pruner is exiting"
