grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.6561081Z level=info msg="module stopped" module=*dynamic.KeyRetriever
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.656342572Z level=info msg="module stopped" module=*angulardetectorsprovider.Dynamic
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.65649664Z level=info msg="module stopped" module=*appregistry.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.656567135Z level=info msg="module stopped" module=*store.standardStorageService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.656716222Z level=info msg="module stopped" module=*pluginexternal.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.656776637Z level=info msg="module stopped" module=*store.dummyEntityEventsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.656874229Z level=info msg="module stopped" module=*loginattemptimpl.Service
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.656937436Z level=info msg="module stopped" module=*cleanup.CleanUpService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.657000101Z level=info msg="module stopped" module=*manager.SecretsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.657320179Z level=info msg="module stopped" module=*updatemanager.GrafanaService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.657462727Z level=info msg="module stopped" module=*live.GrafanaLive
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.657466892Z level=info msg="module stopped" module=*manager.ServiceAccountsService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.657545095Z level=info msg="module stopped" module=*anonimpl.AnonDeviceService
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.657837658Z level=info msg="module stopped" module=*service.DashboardServiceImpl
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.657964477Z level=info msg="module stopped" module=*remotecache.RemoteCache
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:40.658168918Z level=info msg="module stopped" module=*metric.Service
